text,retweet_count
iptal edilmiş hangi burç olduğunu söylememe gerek yok heraldesokağacikmayasaği,14
sokağa çıkacakların bir kulağı an gelebilecek yasakta olmalı sokağacikmayasaği,14
güldürmedi sokağacikmayasaği,14
sokağa çıkma yasağını eniştemden duydum sokağacikmayasaği,14
elma derseniz çıkarım armut derseniz çıkmam sokağacikmayasaği,14
sokağa çıkıp eylem yapasım var nedir sağlıktan bahsediyoruz kaç bin tane insan öldü yasağın kaldırılması httpstcovzgfpvwv,14
dün ilde sokağa çıkma var doğru bir karar bugün ilde sokağa çıkma yasağı yasak ee doğru bir karar sokağacikmayasaği,14
sokağacikmayasaği anlık halk httpstcokbjnauswvh,14
hurriyet ehliyetaffı istiyoruz salgin varrr sokağacikmayasaği dünyaçevregünü elephantdeath httpstcorwbksvv,14
yazı tura atalım yada mavi kutuyu açalım sokağacikmayasaği,14
güzel bir gündem çalışması emeği geçenlere teşekkürler önce sokağacikmayasaği sonra iptal,14
sokağacikmayasaği eğleniyor muyuz gençler,14
ulan milyona yakın tweet attık görmezden gelindi millet gün sitem etti yasak kalktı öğrencile httpstcovnuyxgtg,14
sokağacikmayasaği gece yasağın tekrar geleceğini düşünüyorum hadi bakalım,14
sokağacikmayasaği ilgili değişiklik üzerinden yine polemik yaratacak olanlara şimdiden söylüyorum boşuna kirl httpstcojudzkwpict,14
uzun uğraşlar müzakereler sonucunda korona virüsü oturulup konuşulmuş ikna edilmiştir cumaesi pazar k httpstcogrjaehbhs,14
kalktı sokağacikmayasaği,14
kadar gayrı ciddiyet karışısında ciddiyetle karşılık vermek mi vermemek mi gerekir sayın büyükler gönlünüz el httpstcoiwwmuy,13
inanılmaz ölçüsüz cezalar veren vuk kısa sürede değişmelidir sn beratalbayrak tbmmgenelkurulu httpstconhsjyett,13
insanlara göz göre göre kalp krizi geçien ihmaller dolu sistemi personeli alkışlamıyorumen onlar kada httpstcoezoutyewxu,13
hırs başta karar eyleyince akıl baştan firar eder sokağaçikmayasaği,13
 politikaloji erdoğan gece yarısı yayımlanan son dakika genelgesiyle getirilen sokağa çıkma yasağının iptal edildiğini açıkladı son,13
kendim sokağa çıkma yasağı getirmiş olabilir şahsım olarak bunu kabul etmiyor iptal ediyorum sokağacikmayasaği,13
kolonya cumhuriyeti bi film vardı tamamen ona döndük sokağacikmayasaği,13
abone olursaniz sevinirim şimdiden teşekkürler hayirlicumalar dunyacevregunu sokağacikmayasaği filmonerisi httpstcorzxgwmnomh,13
 obirbiyonikadam yine plansızca alınan bir sokağacikmayasaği ardından gelen iptal şaşırmadım,13
veriler bilim sosyalleşmeyin diyor sağlığınız sokakta olmamanız lazım karıştı topa httpstcofxzohmyt,13
 mottohaber sondakika cumhurbaşkanı tarafından getirilen sokağa çıkma yasağı recep tayyip erdoğan tarafından kaldırıldı cuma sokağ,13
 mehmetesk büyükşehir zonguldak dalga geçen diğer illerde sokağacikmayasaği ilan edilsin,13
sokağacikmayasaği ahanda yeni açiklama tekrar sokak yasaği gelmiş,13
sokağacikmayasaği ağam bizimle eğlenii,13
sokağacikmayasaği ağam eğlenir bizimle iptal httpstcoyhdokowef,13
yinede gece ye kadar bekleyin an değişebilir böyle aksiyon yaşatan bir hükümet geldimi ülkey httpstcokvlaiatsb,13
sokağacikmayasaği yasaklandı,13
 hilosii sokağacikmayasaği iptal twit kadar,13
ağam bizimle eyleniiirrr sokağacikmayasaği iptal,13
bi karar verin hafta sonu sokağa cikalimmi cikmayalimmi sokağacikmayasaği,13
şahsım country korona virüsü yendi sokağacikmayasaği,13
 aksoyfurkan tabi kambersiz düğün olmazmış troll arkadaşlar hemen toplanıp görevlerini icra etttiler halkı şekilde tesel,13
bir bilim kurulu üyesi hekim olarak kararların sorumluluğu altına giremem yarın ilk iş olarak kuruldan istifa httpstcojikmfbdoli,13
gönlü razı olmadı bilimsellikten öleceğiz sokağacikmayasaği,13
dün gece cumaesi pazar sokağa çıkış yasağı sabah itibarıyla kaltı yeniden ayarlamalarınızı yapın randevuların httpstcomdxajjzcmb,13
sokağacikmayasaği şeye benzemiyor bak yazılı başladı sözlüye karar verdi hababam sınıfı,13
 hakan chpli gürsel tekin milletvekili transferini aşağılıkça buluyorum öyle bir sistem var buna sebeb oluyor,12
çıkalım çıkmayalım sokağacikmayasaği httpstcoikzhnaf,12
ettim sokağacikmayasaği,12
 fitelve gir içeri gir haftada sokağacikmayasaği var hayırlıcumalar httpstcoqicbkxbef,12
 oldlaikdays yapacağı belli olmaz bak yazılı başladı sözlüye karar verdi sokağacikmayasaği httpstcofkbvrycz,12
 fergin fahrettin koca yasak yok dedi koca arası açık olan süleyman soylu kendi başına yasak ilan etti ardından erdoğan yasa,12
recepin çıkatığı yasağa tayyip itiraz etti bakalım erdoğan diyecek sokağacikmayasaği iptal,12
akpde büyük gruplaşma damatsoylu soylu göz kırpmstı istifasıyla damat tarafı ifşa etmişti kendini soylu httpstcopfhuxjdwk,12
 esma_fb_ vurduğun çekmece babanın malı değildevlet malı haram olsun sokağacikmayasaği meclisteteroerististemiyoruz http,12
sokağacikmayasaği kalktı,12
adamın iki dudağına baksak azından istediğimizi yapiyor bir sokağacikmayasaği,12
bilim insani düsündü siyasetçi oyu ozeti sokağacikmayasaği,12
 halim_ylmaz kendini bilmez biliyor musunuz chp genel başkan yardımcısı yıldırım kaya milletin meclisinde milletin malını kırı,12
 begefermanolmaz karar verin ateş yanacak yanmayacak sokağacikmayasaği httpstcoccnwjb,12
bir kere olsun bir kararınızı düşünerek alın diyeceğim yaradılışınıza aykırı sanırım düşünmek sokağacikmayasaği,12
